id lens
4 2000;18428;4036;3538;4036;3401;3538;3057;3538;5032;3538;3488;3538;3538;4036;3986;3538;4036;3057;14180
4 2000;3538;3538;3538;3538;3488;3538;3538;3538;3538;3538;3538;3538;3538;3538;3488;3538;4036;3538;3488;3538;3538;3057;3538;3538;3538
4 2008;3538;3538;3538;3538;3538;2712;3538;3538;3538;3538;3057;3538;4036;3538;3986;3538;3538;4100;3538;3538;3538;4036;3538;4036;2726
4 2018;3538;3538;3040;3538;3488;3538;3057;3538;3538;3187;3538;3538;3538;3538;3986;3538;3040;3538;3986;4036;4036;3538;3538;3538;3538
4 2012;3057;3538;3538;3538;4100;3538;3538;3538;3320;3057;3057;3538;3538;3538;3986;3538;4036;4100;4100;3424;3538;3057;3538;3538;4100
4 2024;7024;4100;3538;3986;4100;3057;3538;4352;3538;3538;3538;3538;3538;3538;3538;3538;3488;3538;3538;3057;4100;3538;3538;3197
4 2002;3057;3538;3538;4036;3986;3538;3538;3538;3401;3538;3057;3538;3538;3538;3488;4036;2542;3538;4100;3538;3538;3057;3538;3538;3538;3986
4 2014;7522;4036;3538;3986;4036;7024;3538;3538;3538;3538;3538;4036;3986;4100;3538;3538;2542;3488;3538;3078;3057;3538;11156
4 2016;3171;3538;3538;4036;3488;3538;3057;3538;3538;3040;3538;3538;3538;4036;3488;3538;3040;4100;4100;4100;2516;3057;3538;3538;4036;3488
4 2008;3057;3538;3538;3538;3488;3538;2559;2542;3310;3171;3538;3538;3538;3488;3538;4076;3538;2542;2542;3488;2690;4036;3538;3538;3564
5 2002;3057;7024;2716;7522;3538;3538;3040;3538;3538;3538;3986;4100;3538;3538;3488;3057;4036;17930;3538;4036;4100;3538;4100;3052;3057;4036;7522;3986;3057;3538;3538;3057;4100;31760;3040;3538;3986;4036;4100;3538;4036;3538;3057;3538;8020;3057;3538;8518;3488;3057;3538;19922;3057;3538;15440;4036;4100;3424;4036;4100;3538;3986;4036;2915
5 2014;3538;3538;3538;3538;3538;3538;3538;3057;3538;16436;3538;3538;3481;3538;3538;3538;3538;3488;3538;3538;4036;2990;4036;4036;3538;3025;3538;3538;4100;3474;3488;3538;3538;3538;3538;3538;3538;3538;4100;4036;3538;3538;3986;3040;3538;3538;3538;3538;3538;3040;3538;3488;3057;3538;8020;3057;4036;9016;2893;3538;3538;3538;4036;3986;4100;3126;3057;3538;5032;4100;3488;3538;3538;3040;3488;3538;3538;3538;3488;4036;2897
5 2012;3057;3538;3538;3538;3538;3538;3538;3538;3538;3538;3538;3488;3538;3538;3538;3057;3538;3538;3538;3488;3538;3538;3538;3488;3538;3538;3538;3057;3538;3538;3538;3986;3538;3538;3057;3538;2542;3538;2542;3488;3538;3538;3538;3488;3538;3538;3538;3488;3538;3538;3538;3040;3488;3538;3538;3538;3538;3057;3538;2542;4036;3488;3538;3538;3538;3538;3488;3040;3538;3538;3538;3538;3488;3538;4036;4036;3488;3538;3538;3538;3040;3538
